Food,BMI_Category,Sugar_Level_Category,Calories,Diet_Type
Turkey Slices,Underweight,Moderate,228,Non-Veg
Grilled Chicken,Underweight,High,259,Non-Veg
Cottage Cheese,Underweight,Controlled,185,Veg
Lentil Stew,Underweight,Controlled,192,Veg
Tofu Stir Fry,Normal,Moderate,185,Veg
Chickpea Soup,Obese,Moderate,184,Veg
Zucchini Noodles,Overweight,Moderate,174,Veg
Quinoa Salad,Normal,Controlled,206,Veg
Steamed Vegetables,Overweight,Moderate,89,Veg
Quinoa Salad,Underweight,Controlled,217,Veg
Vegetable Soup,Underweight,Controlled,140,Veg
Chickpea Soup,Overweight,High,193,Veg
Grilled Chicken,Underweight,Controlled,264,Non-Veg
Vegetable Soup,Overweight,High,155,Veg
Steamed Vegetables,Overweight,Moderate,102,Veg
Zucchini Noodles,Overweight,High,159,Veg
Low-fat Yogurt,Underweight,Moderate,111,Veg
Chickpea Soup,Overweight,Moderate,184,Veg
Baked Salmon,Underweight,Moderate,281,Non-Veg
Boiled Eggs,Obese,Controlled,165,Non-Veg
Grilled Chicken,Overweight,Moderate,254,Non-Veg
Tofu Stir Fry,Overweight,Moderate,170,Veg
Steamed Vegetables,Underweight,High,101,Veg
Low-fat Yogurt,Obese,High,116,Veg
Grilled Fish,Overweight,Moderate,277,Non-Veg
Cottage Cheese,Normal,Moderate,206,Veg
Grilled Chicken,Underweight,Moderate,245,Non-Veg
Grilled Chicken,Obese,Controlled,255,Non-Veg
Vegetable Soup,Underweight,Controlled,123,Veg
Steamed Vegetables,Underweight,Controlled,89,Veg
Vegetable Soup,Normal,Controlled,140,Veg
Quinoa Salad,Obese,Moderate,239,Veg
Lentil Stew,Normal,High,208,Veg
Turkey Slices,Obese,High,222,Non-Veg
Baked Salmon,Normal,Controlled,284,Non-Veg
Low-fat Yogurt,Underweight,Controlled,102,Veg
Lentil Stew,Overweight,Controlled,227,Veg
Zucchini Noodles,Overweight,Moderate,172,Veg
Grilled Chicken,Obese,Moderate,238,Non-Veg
Grilled Fish,Normal,High,282,Non-Veg
Boiled Eggs,Obese,Moderate,141,Non-Veg
Baked Salmon,Obese,Moderate,290,Non-Veg
Vegetable Soup,Overweight,High,158,Veg
Tofu Stir Fry,Overweight,Controlled,175,Veg
Tofu Stir Fry,Normal,Moderate,167,Veg
Boiled Eggs,Underweight,Controlled,156,Non-Veg
Lentil Stew,Obese,Controlled,204,Veg
